
 num     #instances         #bytes  class name
 176:           418          13376  scala.reflect.internal.Trees$Literal
 177:           275          13200  org.antlr.v4.runtime.atn.BasicBlockStartState
 178:           103          13184  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$5
 179:            82          13120  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$1
 180:            34          13056  io.netty.util.concurrent.FastThreadLocalThread
 181:           230          12880  java.lang.invoke.MemberName
 182:           229          12824  org.apache.kafka.common.metrics.Sensor
 183:           790          12640  java.util.concurrent.locks.ReentrantLock
 184:           121          12584  org.apache.spark.sql.execution.exchange.ShuffleExchange
 185:           314          12560  org.antlr.v4.runtime.dfa.DFAState
 186:           313          12520  org.apache.spark.ui.jobs.UIData$ShuffleWriteMetricsUIData
 187:           312          12480  io.netty.buffer.PoolChunkList
 188:           388          12416  scala.reflect.internal.Names$TypeName_S
 189:           384          12288  java.lang.ref.ReferenceQueue
 190:           753          12048  org.apache.spark.OneToOneDependency
 191:           491          11784  java.util.Collections$SynchronizedRandomAccessList
 192:           490          11760  org.apache.spark.executor.InputMetrics
 193:           490          11760  org.apache.spark.executor.OutputMetrics
 194:           490          11760  org.apache.spark.executor.ShuffleWriteMetrics
 195:           490          11760  org.apache.spark.util.CollectionAccumulator
 196:           490          11760  scala.collection.immutable.Stream$Cons
 197:           571          11704  [Lorg.codehaus.janino.IClass;
 198:           292          11680  scala.reflect.internal.AnnotationInfos$CompleteAnnotationInfo
 199:           727          11632  org.apache.spark.sql.types.ObjectType
 200:           363          11616  org.antlr.v4.runtime.dfa.DFA
 201:           241          11568  java.util.zip.Inflater
 202:           478          11472  java.lang.Class$AnnotationData
 203:           341          10912  sun.misc.FDBigInteger
 204:           121          10648  org.apache.spark.scheduler.ShuffleMapStage
 205:           121          10648  org.apache.spark.sql.execution.ShuffledRowRDD
 206:           262          10480  org.apache.kafka.common.protocol.types.Field
 207:           653          10448  java.util.LinkedHashMap$LinkedEntrySet
 208:           258          10320  org.apache.spark.sql.execution.ui.SparkPlanGraphNode
 209:           211          10128  org.apache.spark.sql.catalyst.plans.physical.HashPartitioning
 210:           247           9880  org.antlr.v4.runtime.atn.ATNConfigSet
 211:           247           9880  org.apache.log4j.Logger
 212:           170           9520  scala.reflect.internal.Types$ClassNoArgsTypeRef
 213:            10           9440  [Lio.netty.util.Recycler$DefaultHandle;
 214:           145           9280  scala.reflect.internal.Types$ModuleTypeRef
 215:           271           9208  [Lscala.collection.immutable.HashSet;
 216:           367           8808  org.apache.spark.streaming.ui.OutputOpIdAndSparkJobId
 217:           348           8344  [Ljava.security.cert.Certificate;
 218:           260           8320  io.netty.util.internal.chmv8.LongAdderV8
 219:           219           8264  [Lscala.reflect.internal.Types$Type;
 220:           344           8256  org.apache.log4j.CategoryKey
 221:             1           8216  [Lscala.math.BigInt;
 222:           252           8064  org.apache.spark.sql.catalyst.expressions.ExpressionInfo
 223:            36           8064  org.spark_project.jetty.servlet.ServletContextHandler
 224:           100           8000  org.apache.spark.ui.jobs.UIData$ShuffleReadMetricsUIData
 225:           246           7872  java.util.zip.ZipCoder
 226:           490           7840  scala.collection.Iterator$$anonfun$toStream$1
 227:           490           7840  scala.collection.MapLike$$anon$2
 228:           325           7824  [Lorg.antlr.v4.runtime.atn.ATNConfig;
 229:            75           7800  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$12
 230:           194           7760  scala.reflect.internal.BaseTypeSeqs$BaseTypeSeq
 231:           160           7680  java.nio.HeapByteBuffer
 232:           319           7656  org.antlr.v4.runtime.misc.Interval
 233:           478           7648  java.lang.Character
