Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
18.502: [GC (Allocation Failure) [PSYoungGen: 151832K->1779K(160256K)] 227187K->77254K(500736K), 0.0038338 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
18.594: [GC (Allocation Failure) [PSYoungGen: 151283K->787K(161280K)] 226758K->76732K(501760K), 0.0035567 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
19.841: [GC (Allocation Failure) [PSYoungGen: 150291K->448K(162304K)] 226236K->76593K(502784K), 0.0034043 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
25.220: [GC (Allocation Failure) [PSYoungGen: 152000K->2171K(162816K)] 228145K->78549K(503296K), 0.0046428 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
25.321: [GC (Allocation Failure) [PSYoungGen: 153723K->1575K(162816K)] 230101K->78689K(503296K), 0.0044982 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
25.542: [GC (Allocation Failure) [PSYoungGen: 154663K->2235K(162816K)] 231777K->79572K(503296K), 0.0056242 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
25.676: [GC (Allocation Failure) [PSYoungGen: 155323K->1511K(164352K)] 232660K->79500K(504832K), 0.0046723 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
25.786: [GC (Allocation Failure) [PSYoungGen: 157159K->2132K(164352K)] 235148K->80496K(504832K), 0.0046124 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
25.947: [GC (Allocation Failure) [PSYoungGen: 157592K->1760K(165376K)] 235956K->80523K(505856K), 0.0045562 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
26.064: [GC (Allocation Failure) [PSYoungGen: 159456K->2171K(165376K)] 238219K->81457K(505856K), 0.0051951 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
26.178: [GC (Allocation Failure) [PSYoungGen: 159867K->1547K(166400K)] 239153K->81312K(506880K), 0.0050817 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
26.418: [GC (Allocation Failure) [PSYoungGen: 160760K->3624K(166400K)] 240525K->83803K(506880K), 0.0052970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.578: [GC (Allocation Failure) [PSYoungGen: 162856K->5054K(166400K)] 243035K->85750K(506880K), 0.0089662 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
26.691: [GC (Allocation Failure) [PSYoungGen: 164286K->1353K(166912K)] 244982K->82847K(507392K), 0.0053619 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
26.796: [GC (Allocation Failure) [PSYoungGen: 160585K->1414K(166912K)] 242079K->83259K(507392K), 0.0042759 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
26.893: [GC (Allocation Failure) [PSYoungGen: 161158K->1725K(166912K)] 243003K->83851K(507392K), 0.0045591 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
26.983: [GC (Allocation Failure) [PSYoungGen: 161469K->1735K(166912K)] 243595K->84076K(507392K), 0.0042524 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.093: [GC (Allocation Failure) [PSYoungGen: 161991K->3129K(166912K)] 244332K->85749K(507392K), 0.0050573 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
27.156: [GC (Allocation Failure) [PSYoungGen: 163383K->3695K(166912K)] 246003K->86687K(507392K), 0.0039250 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
27.221: [GC (Allocation Failure) [PSYoungGen: 164463K->1701K(167424K)] 247454K->84813K(507904K), 0.0054505 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
27.284: [GC (Allocation Failure) [PSYoungGen: 162469K->4941K(167424K)] 245581K->88180K(507904K), 0.0042701 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
27.357: [GC (Allocation Failure) [PSYoungGen: 166221K->2872K(167936K)] 249460K->86318K(508416K), 0.0049642 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
27.414: [GC (Allocation Failure) [PSYoungGen: 164152K->6518K(165888K)] 247598K->90085K(506368K), 0.0052333 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
27.474: [GC (Allocation Failure) [PSYoungGen: 165579K->7359K(166912K)] 249145K->94118K(507392K), 0.0052823 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
27.573: [GC (Allocation Failure) [PSYoungGen: 166591K->1861K(164864K)] 253350K->88732K(505344K), 0.0050763 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
